authorName
"Raabe, Tom"
"Carlson, Nancy"
"Share, Bernard"
"Howard, Philip"
"Hoffman, Gar"
Green Julien
Serendipity House
"Conrad, Peter"
"Soenen, Karen"
"Odenwald, Sten F."
"Running Press, Washburn"
Bathroom Readers' Institute
"Friedman, Philip H."
"Khue, Le Minh"
"Sweny, Stephen"
Robert K. Cooper
"Scott, David"
"Hendricks, Vicki"
"Galdston, Iago"
"Marlin, George J."
"Collins, John M."
"Hook, Donald D."
"Moore, Harold G."
"Rourke, John T."
"Williams, Donna"
"Hunt, Jonathan"
"Labelle, Patti"
"Fowler, Jim"
Journalists of Reuters
U.S. Holocaust Memorial Museum
"Hoehling, A. H."
"Lynch, Gail"
"Cappello, Dominic"
"Bookspan, Martin"
"Bramson, Robert M"
"Allen, Max"
"Casson, C. J."
Stewart Walton
"Hildebrand, Carol"
"Sheldon, Kathy"
Alistair Hedley
"Grace, James"
"Bell, Carolyn"
"Sandler, Lauren"
Artful Doodlers
"Hirshberg, Charles"
"Eddings, Leigh"
"Allen, Jeffrey"
"Garland, Sherry"
"Whitman, Walt"
"Tourtillott, Suzanne J. E."
"Jaffe, H.L.C."
"Crandall, Hugh"
"Gardner, M"
"MYERS, L.M."
"Pycior, Julie Leininger"
"Sachs, Wendy"
"Hobbie, Holly"
"Ripley, Randall B."
"Ross, Kate"
Frederick Hartt
"Flint, Eric"
"Pellowski, Michael Morgan"
Rough Guides
"Cohn, Patrick J."
"O'Neill, Gerard"
"Phillips, Debora"
"Sadker, Myra Pollack"
"April, Elyse"
"Conklin, Groff (Editor)"
"Gonzalez, Ric"
"Sklar, Kathryn Kish"
"Feinson, Roy"
"Stephen, George"
"Tucker, Wilson"
"Zeichner, Kenneth M."
Richard E. Feinberg
"Welsh, Matt"
"Fritts, Roger"
"Rausch, David A."
"Cornelisen, Ann"
"SPSS, Inc."
"FRIEDLANDER, MARK PL. JR."
"Golf Magazine (New York, N. Y.)"
Donna Beck Richards
"Ward, Andrew"
"Archbold, Rick"
"Drinkwater, John"
"Lee, Jeffrey"
"Carol, Kurt Bickel"
"Gilbert, Sandra M."
"Balart, Luis"
"Berg, Donald"
"Camuti, Louis J."
"Beadle, Muriel"
"Beebe, Steven A."
"Brown, Michael L."
"Musgrave, John R."
"Herman, Doris"
"Ennis, William D"
"De Bono, Edward"
"Lisick, Beth"
"Laidler, David E.W."
"Smith, Charles Manley"
"Kenyon, Tony"
Sharon L. Novotne O'Keefe
"Ashbrook, Tom"
"Randell, Joan W."
"Heyward, Carter"
"Streiber, Art"
"Bensussen, Rusty"
"Mulligan, Julie Mccann"
"Horowitz, Mardi Jon"
"Rowbotham, Sheila."
"Hyman, Harold M."
"Miller, Jennie Brand"
"Colbert, Judy"
"Cassedy, Steven"
"Coney, Norma"
"Venus, Pamela"
"Deakin, Diana"
"Newman, Bettina"
"Tallent, Norman"
"Heinrichs, Jay"
"Brown, Michael Harold"
"Carlson, Paula J."
"Mortensen, Douglas L."
"Landry, John"
"Johnson, Jean H."
"Bardin, Matt"
"Siegel, Benjamin"
"Burfoot, Amby"
"Fleming, Maria"
"Brown, Kay"
"Barone, Michael"
"Gross, Susan"
"Brittain, Judy"
"Howry, Michelle"
"Guiliano, Mireille"
"Hastings, Arthur F."
"Miller, Robert Keith"
"Stensvold, Mike"
Edward E. Smith
"Ang, Tom"
"Schaeffer, Frank"
Mina Lewiton
C. Northcote Parkinson
"Kaczorowski, Barbara"
Jackson Gervase Stops~National Gallery of Art~Gerv
"Dash, Joan"
"Katz, Jane"
"Du Bois, Paul Martin"
"Wilson, Susan B."
Richard A. Norris
"Carpenter, Monte"
"Forbes, Bill"
"Tisdale, Sallie"
"Pepe, Phil"
"Bozell, Jeanna"
"Petersen, Karen"
"Huxley, Aldous"
"Clunn, H.P."
"Allen, Paula Gunn"
"Gibson, Gary"
"Voronkov, M. G."
Franklin Graham
"Green, Barbara G."
"Delton, Judy"
"Gunning, Thomas G."
"Moffett, Michael H."
